identifier,date,report,desc,title,for,against,abstention,no_show,excused
169807,2024-10-09,,,Recital P,,,,670,1
169808,2024-10-09 12:46:36,RC-B10-0070/2024,,– Motion for a resolution (as a whole),495,73,86,16,1
169814,2024-10-10,,,After § 1,,,,635,1
169815,2024-10-10,,,After § 2,312,279,15,635,1
169816,2024-10-10,,,After § 3,,,,635,1
169817,2024-10-10,,,Recital A,494,69,42,635,1
169818,2024-10-10,,,Motion for a resolution (as a whole),,,,635,1
169820,2024-10-10,B10-0088/2024,,B10-0088/2024,,,,635,1
169821,2024-10-10,B10-0089/2024,,B10-0089/2024,,,,635,1
169822,2024-10-10,B10-0090/2024,,B10-0090/2024,,,,635,1
169823,2024-10-10,B10-0091/2024,,B10-0091/2024,,,,635,1
169824,2024-10-10,B10-0092/2024,,B10-0092/2024,,,,635,1
169825,2024-10-10,B10-0093/2024,,B10-0093/2024,,,,635,1
169826,2024-10-10,B10-0094/2024,,B10-0094/2024,,,,635,1
169828,2024-10-10,,,§ 1,290,226,86,635,1
169831,2024-10-10,,,After § 5,,,,635,1
169832,2024-10-10,,,Motion for a resolution (as a whole),,,,635,1
169834,2024-10-10,B10-0095/2024,,B10-0095/2024,,,,635,1
169835,2024-10-10,B10-0096/2024,,B10-0096/2024,,,,635,1
169836,2024-10-10,B10-0097/2024,,B10-0097/2024,,,,635,1
169837,2024-10-10,B10-0098/2024,,B10-0098/2024,,,,635,1
169838,2024-10-10,B10-0099/2024,,B10-0099/2024,,,,635,1
169839,2024-10-10,B10-0100/2024,,B10-0100/2024,,,,635,1
169842,2024-10-10,,,Recital D,,,,635,1
169845,2024-10-10,B10-0101/2024,,B10-0101/2024,,,,635,1
169846,2024-10-10,B10-0114/2024,,B10-0114/2024,,,,635,1
169847,2024-10-10,B10-0115/2024,,B10-0115/2024,,,,635,1
169848,2024-10-10,B10-0116/2024,,B10-0116/2024,,,,635,1
169849,2024-10-10,B10-0117/2024,,B10-0117/2024,,,,635,1
169850,2024-10-10,B10-0118/2024,,B10-0118/2024,,,,635,1
169852,2024-10-10,,,§ 2,,,,635,1
169853,2024-10-10,,,§ 2,,,,635,1
169854,2024-10-10 12:22:08,RC-B10-0095/2024,,– After § 4 – Am 1,132,374,105,24,1
169855,2024-10-10 12:22:26,RC-B10-0095/2024,,– After § 5 – Am 2,132,442,27,34,1
169856,2024-10-10 12:23:17,B10-0101/2024,,– After § 3 – Am 1,59,524,30,22,1
169857,2024-10-10 12:23:40,B10-0101/2024,,– Motion for a resolution (as a whole),540,23,47,25,1
169881,2024-10-22,,,§ 4,,,,672,2
169882,2024-10-22,,,Recital B,,,,672,2
