date,code,reference,name,baseurl,extensions
2016-11-24,VOT,P8_PV-PROV(2016)11-24(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-24/pv_provisoire/P8_PV-PROV(2016)11-24(VOT)_EN,pdf|docx
2016-11-23,VOT,P8_PV-PROV(2016)11-23(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-23/pv_provisoire/P8_PV-PROV(2016)11-23(VOT)_EN,pdf|docx
2016-11-22,VOT,P8_PV-PROV(2016)11-22(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-22/pv_provisoire/P8_PV-PROV(2016)11-22(VOT)_EN,pdf|docx
2016-09-14,VOT,P8_PV(2016)09-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/09-14/liste_presence/P8_PV(2016)09-14(VOT)_EN,pdf|docx
2016-09-13,VOT,P8_PV(2016)09-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/09-13/liste_presence/P8_PV(2016)09-13(VOT)_EN,pdf|docx
2016-07-07,VOT,P8_PV(2016)07-07(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/07-07/liste_presence/P8_PV(2016)07-07(VOT)_EN,docx
2016-10-27,VOT,P8_PV-PROV(2016)10-27(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-27/pv_provisoire/P8_PV-PROV(2016)10-27(VOT)_EN,pdf|docx
2016-10-26,VOT,P8_PV-PROV(2016)10-26(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-26/pv_provisoire/P8_PV-PROV(2016)10-26(VOT)_EN,pdf|docx
2016-07-06,VOT,P8_PV(2016)07-06(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/07-06/liste_presence/P8_PV(2016)07-06(VOT)_EN,pdf|docx
2016-07-05,VOT,P8_PV(2016)07-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/07-05/liste_presence/P8_PV(2016)07-05(VOT)_EN,pdf|docx
