date,code,status,reference,name,baseurl,extensions
2017-10-05,RCV,final,P8_PV(2017)10-05(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 05 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-05/liste_presence/P8_PV(2017)10-05(RCV)_XC,pdf|xml|docx
2017-10-04,RCV,final,P8_PV(2017)10-04(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 04 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-04/liste_presence/P8_PV(2017)10-04(RCV)_XC,pdf|xml|docx
2017-10-03,RCV,final,P8_PV(2017)10-03(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 03 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-03/liste_presence/P8_PV(2017)10-03(RCV)_XC,pdf|xml|docx
2017-09-14,RCV,final,P8_PV(2017)09-14(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 14 septembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-14/liste_presence/P8_PV(2017)09-14(RCV)_XC,pdf|xml|docx
2017-09-13,RCV,final,P8_PV(2017)09-13(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 13 septembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-13/liste_presence/P8_PV(2017)09-13(RCV)_XC,pdf|xml|docx
2017-09-12,RCV,final,P8_PV(2017)09-12(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 12 septembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-12/liste_presence/P8_PV(2017)09-12(RCV)_XC,pdf|xml|docx
2017-07-06,RCV,final,P8_PV(2017)07-06(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 06 juillet 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-06/liste_presence/P8_PV(2017)07-06(RCV)_XC,pdf|xml|docx
2017-07-05,RCV,final,P8_PV(2017)07-05(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 05 juillet 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-05/liste_presence/P8_PV(2017)07-05(RCV)_XC,pdf|xml|docx
2017-07-04,RCV,final,P8_PV(2017)07-04(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 04 juillet 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-04/liste_presence/P8_PV(2017)07-04(RCV)_XC,pdf|xml|docx
2017-07-03,RCV,final,P8_PV(2017)07-03(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 03 juillet 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-03/liste_presence/P8_PV(2017)07-03(RCV)_XC,pdf|xml|docx
2017-06-15,RCV,final,P8_PV(2017)06-15(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 15 juin 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-15/liste_presence/P8_PV(2017)06-15(RCV)_XC,pdf|xml|docx
