date,code,status,reference,name,baseurl,extensions
2017-05-18,minute,final,P8_PV(2017)05-18,Procès-verbal définitif - Séance plénière - 18/05/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-18/liste_presence/P8_PV(2017)05-18_FR,pdf|xml|docx
2017-05-17,minute,final,P8_PV(2017)05-17,Procès-verbal définitif - Séance plénière - 17/05/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-17/liste_presence/P8_PV(2017)05-17_FR,pdf|xml|docx
2017-05-16,minute,final,P8_PV(2017)05-16,Procès-verbal définitif - Séance plénière - 16/05/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-16/liste_presence/P8_PV(2017)05-16_FR,pdf|xml|docx
2017-05-15,minute,final,P8_PV(2017)05-15,Procès-verbal définitif - Séance plénière - 15/05/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-15/liste_presence/P8_PV(2017)05-15_FR,pdf|xml|docx
2017-04-27,minute,final,P8_PV(2017)04-27,Procès-verbal définitif - Séance plénière - 27/04/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-27/liste_presence/P8_PV(2017)04-27_FR,pdf|xml|docx
2017-04-26,minute,final,P8_PV(2017)04-26,Procès-verbal définitif - Séance plénière - 26/04/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-26/liste_presence/P8_PV(2017)04-26_FR,pdf|xml|docx
2017-04-06,minute,final,P8_PV(2017)04-06,"Procès-verbal - Séance plénière - Jeudi, 06 avril 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-06/liste_presence/P8_PV(2017)04-06_FR,pdf|xml|docx
2017-04-05,minute,final,P8_PV(2017)04-05,Procès-verbal définitif - Séance plénière - 05/04/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-05/liste_presence/P8_PV(2017)04-05_FR,pdf|xml|docx
2017-04-04,minute,final,P8_PV(2017)04-04,Procès-verbal définitif - Séance plénière - 04/04/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-04/liste_presence/P8_PV(2017)04-04_FR,pdf|xml|docx
2017-04-03,minute,final,P8_PV(2017)04-03,Procès-verbal définitif - Séance plénière - 03/04/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-03/liste_presence/P8_PV(2017)04-03_FR,pdf|xml|docx
2017-03-16,minute,final,P8_PV(2017)03-16,Procès-verbal définitif - Séance plénière - 16/03/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-16/liste_presence/P8_PV(2017)03-16_FR,pdf|xml|docx
2017-03-15,minute,final,P8_PV(2017)03-15,Procès-verbal définitif - Séance plénière - 15/03/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-15/liste_presence/P8_PV(2017)03-15_FR,pdf|xml|docx
2017-03-14,minute,final,P8_PV(2017)03-14,Procès-verbal définitif - Séance plénière - 14/03/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-14/liste_presence/P8_PV(2017)03-14_FR,pdf|xml|docx
2017-03-13,minute,final,P8_PV(2017)03-13,Procès-verbal définitif - Séance plénière - 13/03/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-13/liste_presence/P8_PV(2017)03-13_FR,pdf|xml|docx
2017-03-02,minute,final,P8_PV(2017)03-02,Procès-verbal définitif - Séance plénière - 02/03/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-02/liste_presence/P8_PV(2017)03-02_FR,pdf|xml|docx
2017-03-01,minute,final,P8_PV(2017)03-01,Procès-verbal définitif - Séance plénière - 01/03/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-01/liste_presence/P8_PV(2017)03-01_FR,pdf|xml|docx
2017-02-16,minute,final,P8_PV(2017)02-16,Procès-verbal définitif - Séance plénière - 16/02/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-16/liste_presence/P8_PV(2017)02-16_FR,pdf|xml|docx
2017-02-15,minute,final,P8_PV(2017)02-15,Procès-verbal définitif - Séance plénière - 15/02/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-15/liste_presence/P8_PV(2017)02-15_FR,pdf|xml|docx
2017-02-14,minute,final,P8_PV(2017)02-14,Procès-verbal définitif - Séance plénière - 14/02/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-14/liste_presence/P8_PV(2017)02-14_FR,pdf|xml|docx
2017-02-13,minute,final,P8_PV(2017)02-13,Procès-verbal définitif - Séance plénière - 13/02/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-13/liste_presence/P8_PV(2017)02-13_FR,pdf|xml|docx
2017-02-02,minute,final,P8_PV(2017)02-02,Procès-verbal définitif - Séance plénière - 02/02/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-02/liste_presence/P8_PV(2017)02-02_FR,pdf|xml|docx
2017-02-01,minute,final,P8_PV(2017)02-01,Procès-verbal définitif - Séance plénière - 01/02/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-01/liste_presence/P8_PV(2017)02-01_FR,pdf|xml|docx
2017-01-19,minute,final,P8_PV(2017)01-19,Procès-verbal définitif - Séance plénière - 19/01/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-19/liste_presence/P8_PV(2017)01-19_FR,pdf|xml|docx
2017-01-18,minute,final,P8_PV(2017)01-18,Procès-verbal définitif - Séance plénière - 18/01/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-18/liste_presence/P8_PV(2017)01-18_FR,pdf|xml|docx
2017-01-17,minute,final,P8_PV(2017)01-17,Procès-verbal définitif - Séance plénière - 17/01/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-17/liste_presence/P8_PV(2017)01-17_FR,pdf|xml|docx
2017-01-16,minute,final,P8_PV(2017)01-16,Procès-verbal définitif - Séance plénière - 16/01/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-16/liste_presence/P8_PV(2017)01-16_FR,pdf|xml|docx
2016-12-15,minute,final,P8_PV(2016)12-15,Procès-verbal définitif - Séance plénière - 15/12/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-15/liste_presence/P8_PV(2016)12-15_FR,pdf|xml|docx
2016-12-14,minute,final,P8_PV(2016)12-14,Procès-verbal définitif - Séance plénière - 14/12/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-14/liste_presence/P8_PV(2016)12-14_FR,pdf|xml|docx
2016-12-13,minute,final,P8_PV(2016)12-13,Procès-verbal définitif - Séance plénière - 13/12/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-13/liste_presence/P8_PV(2016)12-13_FR,pdf|xml|docx
2016-12-12,minute,final,P8_PV(2016)12-12,Procès-verbal définitif - Séance plénière - 12/12/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-12/liste_presence/P8_PV(2016)12-12_FR,pdf|xml|docx
2016-12-01,minute,final,P8_PV(2016)12-01,Procès-verbal définitif - Séance plénière - 01/12/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-01/liste_presence/P8_PV(2016)12-01_FR,pdf|xml|docx
2016-11-30,minute,final,P8_PV(2016)11-30,Procès-verbal définitif - Séance plénière - 30/11/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-30/liste_presence/P8_PV(2016)11-30_FR,pdf|xml|docx
2016-11-24,minute,final,P8_PV(2016)11-24,Procès-verbal définitif - Séance plénière - 24/11/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-24/liste_presence/P8_PV(2016)11-24_FR,pdf|xml|docx
2016-11-23,minute,final,P8_PV(2016)11-23,Procès-verbal définitif - Séance plénière - 23/11/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-23/liste_presence/P8_PV(2016)11-23_FR,pdf|xml|docx
2016-11-22,minute,final,P8_PV(2016)11-22,Procès-verbal définitif - Séance plénière - 22/11/2016,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-22/liste_presence/P8_PV(2016)11-22_FR,pdf|xml|docx
